instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,objective_mode,domain_mode,model_family,capacity_mode,capacity_cardinality,bg_counter_mode,idle_sla_threshold,hybrid_suffix_density,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,4.6 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,3.2 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,8.7 0,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafb.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,12.8 1,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,4.9 1,-
forum-13crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,29.2 1,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-13crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,25.4 2,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,16.5 2,-
forum-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,31.4 2,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forum-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,UNSAT,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.2 5,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,0.6 5,-
forumt-14.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.2 5,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,2.0 5,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.4 5,-
forumt-14.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,4.7 5,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.4 5,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,0.7 5,-
forumt-14crafc.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.0 5,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,2.3 5,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.5 5,-
forumt-14crafc.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,2.1 5,-
forumt-14crafd.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.2 4,-
forumt-14crafd.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,0.7 4,-
forumt-14crafd.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.0 4,-
forumt-14crafd.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.5 4,-
forumt-14crafd.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.3 4,-
forumt-14crafd.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.3 4,-
forumt-14crafe.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,0.6 5,-
forumt-14crafe.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact_v2,global_cluster,seqcounter,shared_dp,,,-,-,-,-,1.4 5,-
