instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,objective_mode,domain_mode,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,8.6 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,4.1 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,6.6 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,8.6 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,4.1 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,6.8 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,5.9 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,3.9 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,6.7 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,6.0 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,3.8 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,6.5 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.1 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.7 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,8.5 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.1 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.7 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,8.4 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.1 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,3.2 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.8 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.1 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,3.2 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.6 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.2 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.8 0,-
forum-13.prec15,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,8.5 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.2 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.7 0,-
forum-13.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,8.4 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.2 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,3.3 0,-
forum-13.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,8.0 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,4.1 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,3.2 0,-
forum-13.prec15,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,7.7 0,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,direct,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13.prec25,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,reduced,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,direct,pairwise+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,pairwise,distance_closure,pairwise+distance_closure,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,incremental,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
forum-13crafb.prec15,sparse_suffix,direct,sparse_suffix+direct,distance_closure,multiple,total_break_groups_subject_to_range_at_most_2,bg_d2,full,-,-,-,-,UNSAT,-
