instance,precedence_encoding,precedence_graph,precedence_configuration,domain_filter_graph,solver,objective,objective_mode,domain_mode,model_family,capacity_mode,capacity_cardinality,bg_counter_mode,idle_sla_threshold,hybrid_suffix_density,basic,imp1,imp2,imp12,imp12+,n/a
forum-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,3.7 1,-
forum-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,25.7 2,-
forum-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,10.7 2,-
forum-13crafb.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,693.0 12,-
forum-13crafb.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,2319.1 14,-
forum-13crafb.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,3128.0 15,-
forum-13crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,22.2 3,-
forum-13crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,88.1 7,-
forum-13crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,48.2 8,-
forum-14.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,143.2 6,-
forum-14.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,2943.9 8,-
forum-14.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,break_groups_d2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,TO,-
forumt-14.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.6 5,-
forumt-14.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.2 5,-
forumt-14.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,2.4 5,-
forumt-14crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.6 5,-
forumt-14crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.8 5,-
forumt-14crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,3.3 6,-
forumt-14crafd.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.6 4,-
forumt-14crafd.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.7 4,-
forumt-14crafd.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.4 4,-
forumt-14crafe.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.6 5,-
forumt-14crafe.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.8 5,-
forumt-14crafe.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.6 6,-
tic-12.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.3 0,-
tic-12.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.2 0,-
tic-12.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.2 0,-
tic-12crafc.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.3 0,-
tic-12crafc.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.3 0,-
tic-12crafc.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.7 0,-
tic-13.prec30,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.5 0,-
tic-13.prec35,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,0.5 0,-
tic-13.prec40,sparse_suffix,distance_closure,sparse_suffix+distance_closure,distance_closure,maxsat,total_break_groups_subject_to_range_at_most_2,bg_d2,full,compact,,seqcounter,shared_dp,,,-,-,-,-,1.1 0,-
