instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
tic-12.original,SAT,OPTIMAL,0.225232,20383,51999,0,0,51999,,peak_process_tree_rss_mb,incremental,traditional,direct,no,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,34,34,34,34,32,28,24","1,2,3,4,5,1,1,2,3,2,3,6,1,2,3,4,5,7,2,1,3,4,2,1,2,3,7,4,5,6,1,8,4,8,5,2,6,3,4,8,5,1,2,6,7,5,7,6,4,2,4,5,3,7,6,2,1,1,6,5,7,8,3,2,6,8,3,6,5,4,5,7,4,8,3,2,7,4,6,8,7,1,4,5,2,3,5,6,4,1,3,4,8,7,5,1,3,6,2,6,8,3,7,5,2,6,7,3,4,5,8,6,1,8,7,5,4,5,8,2,4,6,3,1,7",1:M1 M6 M7 M13 M20 M24 M31 M42 M57 M58 M82 M90 M96 M113 M124 | 2:M2 M8 M10 M14 M19 M23 M25 M36 M43 M50 M56 M64 M76 M85 M99 M105 M120 | 3:M3 M9 M11 M15 M21 M26 M38 M53 M63 M67 M75 M86 M91 M97 M102 M108 M123 | 4:M4 M16 M22 M28 M33 M39 M49 M51 M70 M73 M78 M83 M89 M92 M109 M117 M121 | 5:M5 M17 M29 M35 M41 M46 M52 M60 M69 M71 M84 M87 M95 M104 M110 M116 M118 | 6:M12 M30 M37 M44 M48 M55 M59 M65 M68 M79 M88 M98 M100 M106 M112 M122 | 7:M18 M27 M45 M47 M54 M61 M72 M77 M81 M94 M103 M107 M115 M125 | 8:M32 M34 M40 M62 M66 M74 M80 M93 M101 M111 M114 M119,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,51999,,51999
tic-12.original,SAT,OPTIMAL,0.144348,21601,54032,0,0,54032,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,36,34,32,32,30,24","6,8,3,2,1,1,3,2,1,4,1,4,2,8,5,7,6,3,3,6,4,1,4,5,5,1,8,6,7,2,4,3,4,1,5,7,3,2,6,1,8,3,4,7,2,6,5,4,8,3,5,2,3,6,1,4,7,7,5,7,5,2,1,3,8,7,6,1,5,2,2,4,5,6,3,8,4,3,8,7,6,3,2,4,1,5,6,5,7,8,4,4,6,8,7,3,5,1,2,3,5,7,2,8,6,4,7,6,2,5,3,2,7,4,6,3,1,7,5,3,8,2,6,4,1",1:M5 M6 M9 M11 M22 M26 M34 M40 M55 M63 M68 M85 M98 M117 M125 | 2:M4 M8 M13 M30 M38 M45 M52 M62 M70 M71 M83 M99 M103 M109 M112 M122 | 3:M3 M7 M18 M19 M32 M37 M42 M50 M53 M64 M75 M78 M82 M96 M100 M111 M116 M120 | 4:M10 M12 M21 M23 M31 M33 M43 M48 M56 M72 M77 M84 M91 M92 M106 M114 M124 | 5:M15 M24 M25 M35 M47 M51 M59 M61 M69 M73 M86 M88 M97 M101 M110 M119 | 6:M1 M17 M20 M28 M39 M46 M54 M67 M74 M81 M87 M93 M105 M108 M115 M123 | 7:M16 M29 M36 M44 M57 M58 M60 M66 M80 M89 M95 M102 M107 M113 M118 | 8:M2 M14 M27 M41 M49 M65 M76 M79 M90 M94 M104 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,54032,,54032
tic-12.original,SAT,OPTIMAL,0.246526,20383,51999,0,0,51999,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,34,34,34,34,32,28,24","1,2,3,4,5,1,1,2,3,2,3,6,1,2,3,4,5,7,2,1,3,4,2,1,2,3,7,4,5,6,1,8,4,8,5,2,6,3,4,8,5,1,2,6,7,5,7,6,4,2,4,5,3,7,6,2,1,1,6,5,7,8,3,2,6,8,3,6,5,4,5,7,4,8,3,2,7,4,6,8,7,1,4,5,2,3,5,6,4,1,3,4,8,7,5,1,3,6,2,6,8,3,7,5,2,6,7,3,4,5,8,6,1,8,7,5,4,5,8,2,4,6,3,1,7",1:M1 M6 M7 M13 M20 M24 M31 M42 M57 M58 M82 M90 M96 M113 M124 | 2:M2 M8 M10 M14 M19 M23 M25 M36 M43 M50 M56 M64 M76 M85 M99 M105 M120 | 3:M3 M9 M11 M15 M21 M26 M38 M53 M63 M67 M75 M86 M91 M97 M102 M108 M123 | 4:M4 M16 M22 M28 M33 M39 M49 M51 M70 M73 M78 M83 M89 M92 M109 M117 M121 | 5:M5 M17 M29 M35 M41 M46 M52 M60 M69 M71 M84 M87 M95 M104 M110 M116 M118 | 6:M12 M30 M37 M44 M48 M55 M59 M65 M68 M79 M88 M98 M100 M106 M112 M122 | 7:M18 M27 M45 M47 M54 M61 M72 M77 M81 M94 M103 M107 M115 M125 | 8:M32 M34 M40 M62 M66 M74 M80 M93 M101 M111 M114 M119,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,51999,,51999
tic-12.original,SAT,OPTIMAL,0.146437,21601,54032,0,0,54032,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,36,34,32,32,30,24","6,8,3,2,1,1,3,2,1,4,1,4,2,8,5,7,6,3,3,6,4,1,4,5,5,1,8,6,7,2,4,3,4,1,5,7,3,2,6,1,8,3,4,7,2,6,5,4,8,3,5,2,3,6,1,4,7,7,5,7,5,2,1,3,8,7,6,1,5,2,2,4,5,6,3,8,4,3,8,7,6,3,2,4,1,5,6,5,7,8,4,4,6,8,7,3,5,1,2,3,5,7,2,8,6,4,7,6,2,5,3,2,7,4,6,3,1,7,5,3,8,2,6,4,1",1:M5 M6 M9 M11 M22 M26 M34 M40 M55 M63 M68 M85 M98 M117 M125 | 2:M4 M8 M13 M30 M38 M45 M52 M62 M70 M71 M83 M99 M103 M109 M112 M122 | 3:M3 M7 M18 M19 M32 M37 M42 M50 M53 M64 M75 M78 M82 M96 M100 M111 M116 M120 | 4:M10 M12 M21 M23 M31 M33 M43 M48 M56 M72 M77 M84 M91 M92 M106 M114 M124 | 5:M15 M24 M25 M35 M47 M51 M59 M61 M69 M73 M86 M88 M97 M101 M110 M119 | 6:M1 M17 M20 M28 M39 M46 M54 M67 M74 M81 M87 M93 M105 M108 M115 M123 | 7:M16 M29 M36 M44 M57 M58 M60 M66 M80 M89 M95 M102 M107 M113 M118 | 8:M2 M14 M27 M41 M49 M65 M76 M79 M90 M94 M104 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,54032,,54032
tic-12.original,SAT,OPTIMAL,0.05366,5457,22376,0,0,22376,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24,30,32,34,36,34,32,28","6,1,7,8,2,5,4,1,6,6,5,4,8,6,7,5,2,1,4,6,2,1,8,7,2,1,5,7,6,4,8,3,4,3,7,6,8,2,6,3,8,2,4,7,5,4,3,5,8,6,2,5,7,8,3,4,6,7,3,2,1,5,4,8,3,5,6,3,8,7,1,8,5,4,7,3,5,3,7,2,5,3,4,6,1,8,3,7,5,2,4,4,3,7,8,5,1,2,6,3,4,7,2,6,5,4,3,1,6,5,2,7,6,2,5,4,1,5,3,8,2,4,7,6,1",1:M2 M8 M18 M22 M26 M61 M71 M85 M97 M108 M117 M125 | 2:M5 M17 M21 M25 M38 M42 M51 M60 M80 M90 M98 M103 M111 M114 M121 | 3:M32 M34 M40 M47 M55 M59 M65 M68 M76 M78 M82 M87 M93 M100 M107 M119 | 4:M7 M12 M19 M30 M33 M43 M46 M56 M63 M74 M83 M91 M92 M101 M106 M116 M122 | 5:M6 M11 M16 M27 M45 M48 M52 M62 M66 M73 M77 M81 M89 M96 M105 M110 M115 M118 | 6:M1 M9 M10 M14 M20 M29 M36 M39 M50 M57 M67 M84 M99 M104 M109 M113 M124 | 7:M3 M15 M24 M28 M35 M44 M53 M58 M70 M75 M79 M88 M94 M102 M112 M123 | 8:M4 M13 M23 M31 M37 M41 M49 M54 M64 M69 M72 M86 M95 M120,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,22376,,22376
tic-12.original,SAT,OPTIMAL,0.231881,20383,51999,0,0,51999,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,34,34,34,34,32,28,24","1,2,3,4,5,1,1,2,3,2,3,6,1,2,3,4,5,7,2,1,3,4,2,1,2,3,7,4,5,6,1,8,4,8,5,2,6,3,4,8,5,1,2,6,7,5,7,6,4,2,4,5,3,7,6,2,1,1,6,5,7,8,3,2,6,8,3,6,5,4,5,7,4,8,3,2,7,4,6,8,7,1,4,5,2,3,5,6,4,1,3,4,8,7,5,1,3,6,2,6,8,3,7,5,2,6,7,3,4,5,8,6,1,8,7,5,4,5,8,2,4,6,3,1,7",1:M1 M6 M7 M13 M20 M24 M31 M42 M57 M58 M82 M90 M96 M113 M124 | 2:M2 M8 M10 M14 M19 M23 M25 M36 M43 M50 M56 M64 M76 M85 M99 M105 M120 | 3:M3 M9 M11 M15 M21 M26 M38 M53 M63 M67 M75 M86 M91 M97 M102 M108 M123 | 4:M4 M16 M22 M28 M33 M39 M49 M51 M70 M73 M78 M83 M89 M92 M109 M117 M121 | 5:M5 M17 M29 M35 M41 M46 M52 M60 M69 M71 M84 M87 M95 M104 M110 M116 M118 | 6:M12 M30 M37 M44 M48 M55 M59 M65 M68 M79 M88 M98 M100 M106 M112 M122 | 7:M18 M27 M45 M47 M54 M61 M72 M77 M81 M94 M103 M107 M115 M125 | 8:M32 M34 M40 M62 M66 M74 M80 M93 M101 M111 M114 M119,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,51999,,51999
tic-12.original,SAT,OPTIMAL,0.137915,21601,54032,0,0,54032,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,36,34,32,32,30,24","6,8,3,2,1,1,3,2,1,4,1,4,2,8,5,7,6,3,3,6,4,1,4,5,5,1,8,6,7,2,4,3,4,1,5,7,3,2,6,1,8,3,4,7,2,6,5,4,8,3,5,2,3,6,1,4,7,7,5,7,5,2,1,3,8,7,6,1,5,2,2,4,5,6,3,8,4,3,8,7,6,3,2,4,1,5,6,5,7,8,4,4,6,8,7,3,5,1,2,3,5,7,2,8,6,4,7,6,2,5,3,2,7,4,6,3,1,7,5,3,8,2,6,4,1",1:M5 M6 M9 M11 M22 M26 M34 M40 M55 M63 M68 M85 M98 M117 M125 | 2:M4 M8 M13 M30 M38 M45 M52 M62 M70 M71 M83 M99 M103 M109 M112 M122 | 3:M3 M7 M18 M19 M32 M37 M42 M50 M53 M64 M75 M78 M82 M96 M100 M111 M116 M120 | 4:M10 M12 M21 M23 M31 M33 M43 M48 M56 M72 M77 M84 M91 M92 M106 M114 M124 | 5:M15 M24 M25 M35 M47 M51 M59 M61 M69 M73 M86 M88 M97 M101 M110 M119 | 6:M1 M17 M20 M28 M39 M46 M54 M67 M74 M81 M87 M93 M105 M108 M115 M123 | 7:M16 M29 M36 M44 M57 M58 M60 M66 M80 M89 M95 M102 M107 M113 M118 | 8:M2 M14 M27 M41 M49 M65 M76 M79 M90 M94 M104 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,54032,,54032
tic-12.original,SAT,OPTIMAL,0.224359,20383,51999,0,0,51999,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,34,34,34,34,32,28,24","1,2,3,4,5,1,1,2,3,2,3,6,1,2,3,4,5,7,2,1,3,4,2,1,2,3,7,4,5,6,1,8,4,8,5,2,6,3,4,8,5,1,2,6,7,5,7,6,4,2,4,5,3,7,6,2,1,1,6,5,7,8,3,2,6,8,3,6,5,4,5,7,4,8,3,2,7,4,6,8,7,1,4,5,2,3,5,6,4,1,3,4,8,7,5,1,3,6,2,6,8,3,7,5,2,6,7,3,4,5,8,6,1,8,7,5,4,5,8,2,4,6,3,1,7",1:M1 M6 M7 M13 M20 M24 M31 M42 M57 M58 M82 M90 M96 M113 M124 | 2:M2 M8 M10 M14 M19 M23 M25 M36 M43 M50 M56 M64 M76 M85 M99 M105 M120 | 3:M3 M9 M11 M15 M21 M26 M38 M53 M63 M67 M75 M86 M91 M97 M102 M108 M123 | 4:M4 M16 M22 M28 M33 M39 M49 M51 M70 M73 M78 M83 M89 M92 M109 M117 M121 | 5:M5 M17 M29 M35 M41 M46 M52 M60 M69 M71 M84 M87 M95 M104 M110 M116 M118 | 6:M12 M30 M37 M44 M48 M55 M59 M65 M68 M79 M88 M98 M100 M106 M112 M122 | 7:M18 M27 M45 M47 M54 M61 M72 M77 M81 M94 M103 M107 M115 M125 | 8:M32 M34 M40 M62 M66 M74 M80 M93 M101 M111 M114 M119,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,51999,,51999
tic-12.original,SAT,OPTIMAL,0.134432,21601,54032,0,0,54032,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,36,34,32,32,30,24","6,8,3,2,1,1,3,2,1,4,1,4,2,8,5,7,6,3,3,6,4,1,4,5,5,1,8,6,7,2,4,3,4,1,5,7,3,2,6,1,8,3,4,7,2,6,5,4,8,3,5,2,3,6,1,4,7,7,5,7,5,2,1,3,8,7,6,1,5,2,2,4,5,6,3,8,4,3,8,7,6,3,2,4,1,5,6,5,7,8,4,4,6,8,7,3,5,1,2,3,5,7,2,8,6,4,7,6,2,5,3,2,7,4,6,3,1,7,5,3,8,2,6,4,1",1:M5 M6 M9 M11 M22 M26 M34 M40 M55 M63 M68 M85 M98 M117 M125 | 2:M4 M8 M13 M30 M38 M45 M52 M62 M70 M71 M83 M99 M103 M109 M112 M122 | 3:M3 M7 M18 M19 M32 M37 M42 M50 M53 M64 M75 M78 M82 M96 M100 M111 M116 M120 | 4:M10 M12 M21 M23 M31 M33 M43 M48 M56 M72 M77 M84 M91 M92 M106 M114 M124 | 5:M15 M24 M25 M35 M47 M51 M59 M61 M69 M73 M86 M88 M97 M101 M110 M119 | 6:M1 M17 M20 M28 M39 M46 M54 M67 M74 M81 M87 M93 M105 M108 M115 M123 | 7:M16 M29 M36 M44 M57 M58 M60 M66 M80 M89 M95 M102 M107 M113 M118 | 8:M2 M14 M27 M41 M49 M65 M76 M79 M90 M94 M104 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,54032,,54032
tic-12.original,SAT,OPTIMAL,0.05201,5457,22376,0,0,22376,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,0,0,0,0,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24,30,32,34,36,34,32,28","6,1,7,8,2,5,4,1,6,6,5,4,8,6,7,5,2,1,4,6,2,1,8,7,2,1,5,7,6,4,8,3,4,3,7,6,8,2,6,3,8,2,4,7,5,4,3,5,8,6,2,5,7,8,3,4,6,7,3,2,1,5,4,8,3,5,6,3,8,7,1,8,5,4,7,3,5,3,7,2,5,3,4,6,1,8,3,7,5,2,4,4,3,7,8,5,1,2,6,3,4,7,2,6,5,4,3,1,6,5,2,7,6,2,5,4,1,5,3,8,2,4,7,6,1",1:M2 M8 M18 M22 M26 M61 M71 M85 M97 M108 M117 M125 | 2:M5 M17 M21 M25 M38 M42 M51 M60 M80 M90 M98 M103 M111 M114 M121 | 3:M32 M34 M40 M47 M55 M59 M65 M68 M76 M78 M82 M87 M93 M100 M107 M119 | 4:M7 M12 M19 M30 M33 M43 M46 M56 M63 M74 M83 M91 M92 M101 M106 M116 M122 | 5:M6 M11 M16 M27 M45 M48 M52 M62 M66 M73 M77 M81 M89 M96 M105 M110 M115 M118 | 6:M1 M9 M10 M14 M20 M29 M36 M39 M50 M57 M67 M84 M99 M104 M109 M113 M124 | 7:M3 M15 M24 M28 M35 M44 M53 M58 M70 M75 M79 M88 M94 M102 M112 M123 | 8:M4 M13 M23 M31 M37 M41 M49 M54 M64 M69 M72 M86 M95 M120,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,22376,,22376
