instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
tic-12.fixed040-Forb,UNSAT,UNSAT,0.032652,12583,31431,0,0,31431,,peak_process_tree_rss_mb,incremental,traditional,direct,no,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,31431,,31431
tic-12.fixed040-Forb,UNSAT,UNSAT,0.034071,13801,33464,0,0,33464,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,33464,,33464
tic-12.fixed040-Forb,UNSAT,UNSAT,0.036223,12583,31431,0,0,31431,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,31431,,31431
tic-12.fixed040-Forb,UNSAT,UNSAT,0.034085,13801,33464,0,0,33464,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,33464,,33464
tic-12.fixed040-Forb,UNSAT,UNSAT,0.024049,4587,15668,0,0,15668,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,15668,,15668
tic-12.fixed040-Forb,UNSAT,UNSAT,0.033518,12583,31431,0,0,31431,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,31431,,31431
tic-12.fixed040-Forb,UNSAT,UNSAT,0.036339,13801,33464,0,0,33464,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,33464,,33464
tic-12.fixed040-Forb,UNSAT,UNSAT,0.034437,12583,31431,0,0,31431,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,31431,,31431
tic-12.fixed040-Forb,UNSAT,UNSAT,0.034517,13801,33464,0,0,33464,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,33464,,33464
tic-12.fixed040-Forb,UNSAT,UNSAT,0.021162,4587,15668,0,0,15668,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,,,,,,0,0,0,0,6,6,,,,,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,15668,,15668
