instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
tic-12.prec25,SAT,OPTIMAL,1.935114,16873,43308,0,0,43308,,peak_process_tree_rss_mb,incremental,traditional,direct,no,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,30,32,32,34,36,32,26","4,5,1,2,7,3,2,5,8,8,6,8,1,3,5,6,4,7,3,1,6,8,6,7,8,5,1,7,4,6,3,2,2,3,4,6,5,7,6,2,5,3,1,7,4,5,3,8,7,4,1,6,2,3,7,5,4,2,3,4,1,2,5,8,6,6,4,3,1,2,5,7,6,1,2,8,5,4,3,4,8,1,2,7,6,5,5,7,6,8,3,6,4,7,5,2,8,3,1,7,4,6,2,5,1,7,4,6,5,3,8,3,6,2,1,4,7,6,2,1,4,7,8,3,5",1:M3 M13 M20 M27 M43 M51 M61 M69 M74 M82 M99 M105 M115 M120 | 2:M4 M7 M32 M33 M40 M53 M58 M62 M70 M75 M83 M96 M103 M114 M119 | 3:M6 M14 M19 M31 M34 M42 M47 M54 M59 M68 M79 M91 M98 M110 M112 M124 | 4:M1 M17 M29 M35 M45 M50 M57 M60 M67 M78 M80 M93 M101 M107 M116 M121 | 5:M2 M8 M15 M26 M37 M41 M46 M56 M63 M71 M77 M86 M87 M95 M104 M109 M125 | 6:M11 M16 M21 M23 M30 M36 M39 M52 M65 M66 M73 M85 M89 M92 M102 M108 M113 M118 | 7:M5 M18 M24 M28 M38 M44 M49 M55 M72 M84 M88 M94 M100 M106 M117 M122 | 8:M9 M10 M12 M22 M25 M48 M64 M76 M81 M90 M97 M111 M123,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,43308,,43308
tic-12.prec25,SAT,OPTIMAL,0.328897,18091,45341,0,0,45341,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,28,34,36,34,34,32,26","2,3,4,1,7,4,1,6,5,8,3,8,2,4,5,6,1,7,1,2,8,5,6,7,7,5,3,8,4,6,1,2,3,2,4,6,5,7,8,3,6,1,2,5,4,3,5,7,4,6,2,6,5,8,7,3,4,3,2,4,7,3,1,5,6,6,5,4,1,2,6,3,7,1,5,8,5,4,7,2,8,1,3,4,6,5,5,7,4,8,3,8,4,6,5,1,7,2,3,3,4,8,7,6,2,7,4,6,5,3,8,6,3,2,1,4,7,8,3,1,4,7,6,2,5",1:M4 M7 M17 M19 M31 M42 M63 M69 M74 M82 M96 M115 M120 | 2:M1 M13 M20 M32 M34 M43 M51 M59 M70 M80 M98 M105 M114 M124 | 3:M2 M11 M27 M33 M40 M46 M56 M58 M62 M72 M83 M91 M99 M100 M110 M113 M119 | 4:M3 M6 M14 M29 M35 M45 M49 M57 M60 M68 M78 M84 M89 M93 M101 M107 M116 M121 | 5:M9 M15 M22 M26 M37 M44 M47 M53 M64 M67 M75 M77 M86 M87 M95 M109 M125 | 6:M8 M16 M23 M30 M36 M41 M50 M52 M65 M66 M71 M85 M94 M104 M108 M112 M123 | 7:M5 M18 M24 M25 M38 M48 M55 M61 M73 M79 M88 M97 M103 M106 M117 M122 | 8:M10 M12 M21 M28 M39 M54 M76 M81 M90 M92 M102 M111 M118,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,45341,,45341
tic-12.prec25,SAT,OPTIMAL,1.960951,16873,43308,0,0,43308,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,30,32,32,34,36,32,26","4,5,1,2,7,3,2,5,8,8,6,8,1,3,5,6,4,7,3,1,6,8,6,7,8,5,1,7,4,6,3,2,2,3,4,6,5,7,6,2,5,3,1,7,4,5,3,8,7,4,1,6,2,3,7,5,4,2,3,4,1,2,5,8,6,6,4,3,1,2,5,7,6,1,2,8,5,4,3,4,8,1,2,7,6,5,5,7,6,8,3,6,4,7,5,2,8,3,1,7,4,6,2,5,1,7,4,6,5,3,8,3,6,2,1,4,7,6,2,1,4,7,8,3,5",1:M3 M13 M20 M27 M43 M51 M61 M69 M74 M82 M99 M105 M115 M120 | 2:M4 M7 M32 M33 M40 M53 M58 M62 M70 M75 M83 M96 M103 M114 M119 | 3:M6 M14 M19 M31 M34 M42 M47 M54 M59 M68 M79 M91 M98 M110 M112 M124 | 4:M1 M17 M29 M35 M45 M50 M57 M60 M67 M78 M80 M93 M101 M107 M116 M121 | 5:M2 M8 M15 M26 M37 M41 M46 M56 M63 M71 M77 M86 M87 M95 M104 M109 M125 | 6:M11 M16 M21 M23 M30 M36 M39 M52 M65 M66 M73 M85 M89 M92 M102 M108 M113 M118 | 7:M5 M18 M24 M28 M38 M44 M49 M55 M72 M84 M88 M94 M100 M106 M117 M122 | 8:M9 M10 M12 M22 M25 M48 M64 M76 M81 M90 M97 M111 M123,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,43308,,43308
tic-12.prec25,SAT,OPTIMAL,0.334381,18091,45341,0,0,45341,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,28,34,36,34,34,32,26","2,3,4,1,7,4,1,6,5,8,3,8,2,4,5,6,1,7,1,2,8,5,6,7,7,5,3,8,4,6,1,2,3,2,4,6,5,7,8,3,6,1,2,5,4,3,5,7,4,6,2,6,5,8,7,3,4,3,2,4,7,3,1,5,6,6,5,4,1,2,6,3,7,1,5,8,5,4,7,2,8,1,3,4,6,5,5,7,4,8,3,8,4,6,5,1,7,2,3,3,4,8,7,6,2,7,4,6,5,3,8,6,3,2,1,4,7,8,3,1,4,7,6,2,5",1:M4 M7 M17 M19 M31 M42 M63 M69 M74 M82 M96 M115 M120 | 2:M1 M13 M20 M32 M34 M43 M51 M59 M70 M80 M98 M105 M114 M124 | 3:M2 M11 M27 M33 M40 M46 M56 M58 M62 M72 M83 M91 M99 M100 M110 M113 M119 | 4:M3 M6 M14 M29 M35 M45 M49 M57 M60 M68 M78 M84 M89 M93 M101 M107 M116 M121 | 5:M9 M15 M22 M26 M37 M44 M47 M53 M64 M67 M75 M77 M86 M87 M95 M109 M125 | 6:M8 M16 M23 M30 M36 M41 M50 M52 M65 M66 M71 M85 M94 M104 M108 M112 M123 | 7:M5 M18 M24 M25 M38 M48 M55 M61 M73 M79 M88 M97 M103 M106 M117 M122 | 8:M10 M12 M21 M28 M39 M54 M76 M81 M90 M92 M102 M111 M118,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,45341,,45341
tic-12.prec25,SAT,OPTIMAL,0.138154,5176,20143,0,0,20143,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,28,34,34,36,34,30,26","2,3,8,1,7,5,2,6,5,8,3,6,1,2,5,8,3,7,6,3,4,8,7,8,6,4,7,8,2,5,1,3,4,5,1,7,3,6,7,4,2,1,6,5,3,4,5,8,7,3,1,3,2,6,4,5,7,1,5,3,4,5,1,6,7,4,3,6,1,2,8,4,5,2,3,6,6,4,7,1,8,2,4,6,5,3,6,7,5,8,4,7,3,2,6,5,8,1,4,4,5,6,2,7,3,4,1,3,2,6,5,5,7,4,2,1,8,8,5,1,3,7,4,2,6",1:M4 M13 M31 M35 M42 M51 M58 M63 M69 M80 M98 M107 M116 M120 | 2:M1 M7 M14 M29 M41 M53 M70 M74 M82 M94 M103 M109 M115 M124 | 3:M2 M11 M17 M20 M32 M37 M45 M50 M52 M60 M67 M75 M86 M93 M105 M108 M121 | 4:M21 M26 M33 M40 M46 M55 M61 M66 M72 M78 M83 M91 M99 M100 M106 M114 M123 | 5:M6 M9 M15 M30 M34 M44 M47 M56 M59 M62 M73 M85 M89 M96 M101 M111 M112 M119 | 6:M8 M12 M19 M25 M38 M43 M54 M64 M68 M76 M77 M84 M87 M95 M102 M110 M125 | 7:M5 M18 M23 M27 M36 M39 M49 M57 M65 M79 M88 M92 M104 M113 M122 | 8:M3 M10 M16 M22 M24 M28 M48 M71 M81 M90 M97 M117 M118,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,20143,,20143
tic-12.prec25,SAT,OPTIMAL,0.909253,16873,42850,0,0,42850,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24,28,32,34,36,34,32,30","4,2,5,1,7,5,1,2,6,8,7,8,1,2,3,5,6,7,6,8,4,5,7,8,7,4,3,5,2,6,1,8,2,5,4,7,3,6,8,4,3,1,5,6,2,4,6,7,5,3,4,6,3,7,5,8,2,1,3,3,6,1,4,8,7,3,4,5,1,2,3,8,5,6,4,7,8,5,7,3,8,1,4,6,5,2,2,7,5,6,4,8,5,2,6,4,7,1,3,6,4,8,2,7,3,4,2,7,6,3,5,4,6,3,1,8,5,3,5,1,7,8,4,2,6",1:M4 M7 M13 M31 M42 M58 M62 M69 M82 M98 M115 M120 | 2:M2 M8 M14 M29 M33 M45 M57 M70 M86 M87 M94 M103 M107 M124 | 3:M15 M27 M37 M41 M50 M53 M59 M60 M66 M71 M80 M99 M105 M110 M114 M118 | 4:M1 M21 M26 M35 M40 M46 M51 M63 M67 M75 M83 M91 M96 M101 M106 M112 M123 | 5:M3 M6 M16 M22 M28 M34 M43 M49 M55 M68 M73 M78 M85 M89 M93 M111 M117 M119 | 6:M9 M17 M19 M30 M38 M44 M47 M52 M61 M74 M84 M90 M95 M100 M109 M113 M125 | 7:M5 M11 M18 M23 M25 M36 M48 M54 M65 M76 M79 M88 M97 M104 M108 M121 | 8:M10 M12 M20 M24 M32 M39 M56 M64 M72 M77 M81 M92 M102 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | exact unary internal-idle counts and range objective over P*",,,result,42850,,42850
tic-12.prec25,SAT,OPTIMAL,0.293202,18091,44883,0,0,44883,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,32,32,32,34,34,32,28","3,4,1,2,8,4,1,5,8,6,7,7,1,2,6,3,5,8,6,8,7,2,7,8,8,5,4,6,3,7,1,2,2,3,7,4,5,6,2,4,5,1,3,6,8,4,6,7,5,3,3,5,2,6,8,7,4,1,2,4,8,1,3,5,7,5,3,4,1,2,5,6,7,3,2,8,6,5,2,4,8,1,3,6,7,5,2,4,5,6,1,6,4,8,5,2,7,1,3,7,3,8,4,6,5,4,3,7,5,2,6,3,7,2,1,6,4,7,3,1,6,5,8,2,4",1:M3 M7 M13 M31 M42 M58 M62 M69 M82 M91 M98 M115 M120 | 2:M4 M14 M22 M32 M33 M39 M53 M59 M70 M75 M79 M87 M96 M110 M114 M124 | 3:M1 M16 M29 M34 M43 M50 M51 M63 M67 M74 M83 M99 M101 M107 M112 M119 | 4:M2 M6 M27 M36 M40 M46 M57 M60 M68 M80 M88 M93 M103 M106 M117 M125 | 5:M8 M17 M26 M37 M41 M49 M52 M64 M66 M71 M78 M86 M89 M95 M105 M109 M122 | 6:M10 M15 M19 M28 M38 M44 M47 M54 M72 M77 M84 M90 M92 M104 M111 M116 M121 | 7:M11 M12 M21 M23 M30 M35 M48 M56 M65 M73 M85 M97 M100 M108 M113 M118 | 8:M5 M9 M18 M20 M24 M25 M45 M55 M61 M76 M81 M94 M102 M123,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,44883,,44883
tic-12.prec25,SAT,OPTIMAL,0.906387,16873,42850,0,0,42850,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24,28,32,34,36,34,32,30","4,2,5,1,7,5,1,2,6,8,7,8,1,2,3,5,6,7,6,8,4,5,7,8,7,4,3,5,2,6,1,8,2,5,4,7,3,6,8,4,3,1,5,6,2,4,6,7,5,3,4,6,3,7,5,8,2,1,3,3,6,1,4,8,7,3,4,5,1,2,3,8,5,6,4,7,8,5,7,3,8,1,4,6,5,2,2,7,5,6,4,8,5,2,6,4,7,1,3,6,4,8,2,7,3,4,2,7,6,3,5,4,6,3,1,8,5,3,5,1,7,8,4,2,6",1:M4 M7 M13 M31 M42 M58 M62 M69 M82 M98 M115 M120 | 2:M2 M8 M14 M29 M33 M45 M57 M70 M86 M87 M94 M103 M107 M124 | 3:M15 M27 M37 M41 M50 M53 M59 M60 M66 M71 M80 M99 M105 M110 M114 M118 | 4:M1 M21 M26 M35 M40 M46 M51 M63 M67 M75 M83 M91 M96 M101 M106 M112 M123 | 5:M3 M6 M16 M22 M28 M34 M43 M49 M55 M68 M73 M78 M85 M89 M93 M111 M117 M119 | 6:M9 M17 M19 M30 M38 M44 M47 M52 M61 M74 M84 M90 M95 M100 M109 M113 M125 | 7:M5 M11 M18 M23 M25 M36 M48 M54 M65 M76 M79 M88 M97 M104 M108 M121 | 8:M10 M12 M20 M24 M32 M39 M56 M64 M72 M77 M81 M92 M102 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,42850,,42850
tic-12.prec25,SAT,OPTIMAL,0.297834,18091,44883,0,0,44883,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26,32,32,32,34,34,32,28","3,4,1,2,8,4,1,5,8,6,7,7,1,2,6,3,5,8,6,8,7,2,7,8,8,5,4,6,3,7,1,2,2,3,7,4,5,6,2,4,5,1,3,6,8,4,6,7,5,3,3,5,2,6,8,7,4,1,2,4,8,1,3,5,7,5,3,4,1,2,5,6,7,3,2,8,6,5,2,4,8,1,3,6,7,5,2,4,5,6,1,6,4,8,5,2,7,1,3,7,3,8,4,6,5,4,3,7,5,2,6,3,7,2,1,6,4,7,3,1,6,5,8,2,4",1:M3 M7 M13 M31 M42 M58 M62 M69 M82 M91 M98 M115 M120 | 2:M4 M14 M22 M32 M33 M39 M53 M59 M70 M75 M79 M87 M96 M110 M114 M124 | 3:M1 M16 M29 M34 M43 M50 M51 M63 M67 M74 M83 M99 M101 M107 M112 M119 | 4:M2 M6 M27 M36 M40 M46 M57 M60 M68 M80 M88 M93 M103 M106 M117 M125 | 5:M8 M17 M26 M37 M41 M49 M52 M64 M66 M71 M78 M86 M89 M95 M105 M109 M122 | 6:M10 M15 M19 M28 M38 M44 M47 M54 M72 M77 M84 M90 M92 M104 M111 M116 M121 | 7:M11 M12 M21 M23 M30 M35 M48 M56 M65 M73 M85 M97 M100 M108 M113 M118 | 8:M5 M9 M18 M20 M24 M25 M45 M55 M61 M76 M81 M94 M102 M123,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,44883,,44883
tic-12.prec25,SAT,OPTIMAL,0.110244,5176,19685,0,0,19685,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,30,32,32,36,34,32,26","2,5,1,3,8,3,1,3,8,8,6,7,4,1,6,2,3,8,1,2,5,8,6,7,8,6,3,4,1,7,2,5,3,2,1,5,7,4,2,5,4,1,3,7,6,5,4,8,7,3,2,5,4,6,7,3,1,2,4,5,3,7,1,8,6,6,5,4,1,2,4,6,5,7,2,8,6,5,7,4,8,3,2,6,5,1,5,6,4,7,2,6,4,7,5,2,8,3,1,7,4,6,3,1,5,7,3,6,5,4,8,2,5,4,6,7,3,5,3,1,6,7,8,2,4",1:M3 M7 M14 M19 M29 M35 M42 M57 M63 M69 M86 M99 M104 M120 | 2:M1 M16 M20 M31 M34 M39 M51 M58 M70 M75 M83 M91 M96 M112 M124 | 3:M4 M6 M8 M17 M27 M33 M43 M50 M56 M61 M82 M98 M103 M107 M117 M119 | 4:M13 M28 M38 M41 M47 M53 M59 M68 M71 M80 M89 M93 M101 M110 M114 M125 | 5:M2 M21 M32 M36 M40 M46 M52 M60 M67 M73 M78 M85 M87 M95 M105 M109 M113 M118 | 6:M11 M15 M23 M26 M45 M54 M65 M66 M72 M77 M84 M88 M92 M102 M108 M115 M121 | 7:M12 M24 M30 M37 M44 M49 M55 M62 M74 M79 M90 M94 M100 M106 M116 M122 | 8:M5 M9 M10 M18 M22 M25 M48 M64 M76 M81 M97 M111 M123,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,19685,,19685
