instance,sat_result,status,runtime_s,n_vars,n_hard_clauses,n_soft_clauses,n_optimization_clauses,n_total_clauses,peak_memory_mb,memory_metric,solver,precedence_mode,precedence_edge_mode,staircase,encoding_variant,objective,objective_mode,secondary_objective_value,secondary_proven_optimum,objective_participant_count,objective_participants,total_breaks,fairness_gap,idle_range,all_participant_idle_range,precedence_direct_edges,precedence_source_added_edges,precedence_encoded_edges,precedence_full_closure_edges,n_primary_objective_lits,n_secondary_objective_lits,participant_breaks,busy_participants_per_slot,assignment,schedule_by_slot,validation_errors,enabled_constraints,error_type,error_message,message_type,n_clauses,n_soft,total_clauses
tic-12crafc.prec25,TIMEOUT,TIMEOUT,300.006095,14148,37938,0,0,37938,,peak_process_tree_rss_mb,incremental,traditional,direct,no,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",,,,,53,21,53,85,6,240,,,,,,,,,,,,37938
tic-12crafc.prec25,SAT,OPTIMAL,41.53757,15366,39971,0,0,39971,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","4,2,5,1,8,2,2,4,1,8,7,3,1,2,6,7,4,8,2,4,6,8,8,7,5,6,3,4,2,7,1,8,3,5,4,7,2,8,7,5,3,4,1,6,2,5,7,8,4,3,3,2,1,6,7,4,5,1,3,5,1,7,3,8,6,6,3,5,2,1,6,8,1,7,3,2,6,5,6,5,8,3,2,4,7,1,6,5,4,7,8,7,5,3,6,2,8,4,1,4,2,6,7,5,3,3,1,5,6,2,4,3,7,5,6,8,4,7,4,1,6,8,3,2,5",1:M4 M9 M13 M31 M43 M53 M58 M61 M70 M73 M86 M99 M107 M120 | 2:M2 M6 M7 M14 M19 M29 M37 M45 M52 M69 M76 M83 M96 M101 M110 M124 | 3:M12 M27 M33 M41 M50 M51 M59 M63 M67 M75 M82 M94 M105 M106 M112 M123 | 4:M1 M8 M17 M20 M28 M35 M42 M49 M56 M84 M89 M98 M100 M111 M117 M119 | 5:M3 M25 M34 M40 M46 M57 M60 M68 M78 M80 M88 M93 M104 M108 M114 M125 | 6:M15 M21 M26 M44 M54 M65 M66 M71 M77 M79 M87 M95 M102 M109 M115 M121 | 7:M11 M16 M24 M30 M36 M39 M47 M55 M62 M74 M85 M90 M92 M103 M113 M118 | 8:M5 M10 M18 M22 M23 M32 M38 M48 M64 M72 M81 M91 M97 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,39971,,39971
tic-12crafc.prec25,SAT,OPTIMAL,117.73014,22844,50986,0,0,50986,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","2,3,5,1,8,8,4,2,7,8,3,7,3,1,4,6,2,8,7,4,5,6,7,8,4,6,1,8,3,7,5,2,3,6,5,7,2,8,4,5,2,3,1,6,7,4,6,8,5,3,1,6,5,4,7,3,2,2,4,5,1,3,2,6,7,4,7,5,1,2,5,8,1,3,6,7,6,5,6,2,8,1,3,4,7,5,7,8,5,6,4,6,3,1,5,2,8,4,7,3,4,7,8,1,2,4,1,6,2,3,5,6,3,2,4,1,8,5,2,1,7,8,3,4,6",1:M4 M14 M27 M43 M51 M61 M69 M73 M82 M94 M104 M107 M116 M120 | 2:M1 M8 M17 M32 M37 M41 M57 M58 M63 M70 M80 M96 M105 M109 M114 M119 | 3:M2 M11 M13 M29 M33 M42 M50 M56 M62 M74 M83 M93 M100 M110 M113 M123 | 4:M7 M15 M20 M25 M39 M46 M54 M59 M66 M84 M91 M98 M101 M106 M115 M124 | 5:M3 M21 M31 M35 M40 M49 M53 M60 M68 M71 M78 M86 M89 M95 M111 M118 | 6:M16 M22 M26 M34 M44 M47 M52 M64 M75 M77 M79 M90 M92 M108 M112 M125 | 7:M9 M12 M19 M23 M30 M36 M45 M55 M65 M67 M76 M85 M87 M99 M102 M121 | 8:M5 M6 M10 M18 M24 M28 M38 M48 M72 M81 M88 M97 M103 M117 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,50986,,50986
tic-12crafc.prec25,SAT,OPTIMAL,1.22228,24062,53019,0,0,53019,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,32,32,32,32,32,28","2,4,1,3,8,2,1,6,8,8,7,7,1,2,5,3,4,8,7,4,5,8,8,7,4,6,3,8,2,7,5,1,3,4,5,6,2,7,4,6,3,5,1,7,2,4,5,8,6,3,4,6,2,7,1,3,5,1,3,5,2,1,3,7,6,6,5,4,1,2,6,2,1,8,3,7,5,6,3,5,7,1,2,4,8,6,4,6,5,7,8,7,5,3,6,2,8,4,1,3,4,7,2,6,1,3,2,7,6,5,4,3,5,2,1,8,4,7,2,1,8,6,3,4,5",1:M3 M7 M13 M32 M43 M55 M58 M62 M69 M73 M82 M99 M105 M115 M120 | 2:M1 M6 M14 M29 M37 M45 M53 M61 M70 M72 M83 M96 M103 M107 M114 M119 | 3:M4 M16 M27 M33 M41 M50 M56 M59 M63 M75 M79 M94 M100 M106 M112 M123 | 4:M2 M17 M20 M25 M34 M39 M46 M51 M68 M84 M87 M98 M101 M111 M117 M124 | 5:M15 M21 M31 M35 M42 M47 M57 M60 M67 M77 M80 M89 M93 M110 M113 M125 | 6:M8 M26 M36 M40 M49 M52 M65 M66 M71 M78 M86 M88 M95 M104 M109 M122 | 7:M11 M12 M19 M24 M30 M38 M44 M54 M64 M76 M81 M90 M92 M102 M108 M118 | 8:M5 M9 M10 M18 M22 M23 M28 M48 M74 M85 M91 M97 M116 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,53019,,53019
tic-12crafc.prec25,SAT,OPTIMAL,0.585228,14337,34201,0,0,34201,,peak_process_tree_rss_mb,incremental,traditional,direct,no,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,32,32,32,32,30,30","1,3,4,2,8,2,2,5,1,8,7,7,2,1,6,4,3,8,7,3,5,6,8,7,4,6,1,2,3,7,5,8,3,4,7,6,2,8,4,5,2,6,1,7,3,4,6,8,5,3,3,5,1,2,7,6,4,2,1,5,1,8,4,7,6,5,1,4,2,3,5,8,1,6,3,2,5,6,6,4,8,5,2,3,7,1,6,4,5,7,8,6,4,3,5,2,8,7,1,3,4,7,2,8,1,3,1,2,6,5,4,3,7,6,5,8,4,7,1,2,6,8,4,3,5",1:M1 M9 M14 M27 M43 M53 M59 M61 M67 M73 M86 M99 M105 M107 M119 | 2:M4 M6 M7 M13 M28 M37 M41 M54 M58 M69 M76 M83 M96 M103 M108 M120 | 3:M2 M17 M20 M29 M33 M45 M50 M51 M70 M75 M84 M94 M100 M106 M112 M124 | 4:M3 M16 M25 M34 M39 M46 M57 M63 M68 M80 M88 M93 M101 M111 M117 M123 | 5:M8 M21 M31 M40 M49 M52 M60 M66 M71 M77 M82 M89 M95 M110 M115 M125 | 6:M15 M22 M26 M36 M42 M47 M56 M65 M74 M78 M79 M87 M92 M109 M114 M121 | 7:M11 M12 M19 M24 M30 M35 M44 M55 M64 M85 M90 M98 M102 M113 M118 | 8:M5 M10 M18 M23 M32 M38 M48 M62 M72 M81 M91 M97 M104 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) traditional pairwise precedence over direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,34201,,34201
tic-12crafc.prec25,TIMEOUT,TIMEOUT,300.006528,14148,37480,0,0,37480,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,basic,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,,,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",,,,,53,21,53,85,6,240,,,,,,,,,,,,37480
tic-12crafc.prec25,SAT,OPTIMAL,23.778446,15366,39513,0,0,39513,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp1,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,30,32,32,32,32,32,32","2,3,4,1,8,8,4,1,5,8,3,5,2,1,3,7,6,8,6,2,4,7,7,8,7,4,3,8,2,6,5,1,4,5,6,8,2,7,1,4,3,5,2,6,7,4,7,8,5,3,2,6,3,8,7,4,5,2,5,3,1,5,4,6,7,6,3,5,2,1,6,8,1,3,7,4,7,5,6,2,7,1,3,4,8,5,6,8,5,7,4,5,3,7,4,1,8,2,6,4,2,6,8,1,3,4,1,6,2,3,5,7,6,2,3,1,8,7,5,1,8,4,3,2,6",1:M4 M8 M14 M32 M39 M61 M70 M73 M82 M96 M104 M107 M116 M120 | 2:M1 M13 M20 M29 M37 M43 M51 M58 M69 M80 M98 M101 M109 M114 M124 | 3:M2 M11 M15 M27 M41 M50 M53 M60 M67 M74 M83 M93 M105 M110 M115 M123 | 4:M3 M7 M21 M26 M33 M40 M46 M56 M63 M76 M84 M91 M95 M100 M106 M122 | 5:M9 M12 M31 M34 M42 M49 M57 M59 M62 M68 M78 M86 M89 M92 M111 M119 | 6:M17 M19 M30 M35 M44 M52 M64 M66 M71 M79 M87 M99 M102 M108 M113 M125 | 7:M16 M22 M23 M25 M38 M45 M47 M55 M65 M75 M77 M81 M90 M94 M112 M118 | 8:M5 M6 M10 M18 M24 M28 M36 M48 M54 M72 M85 M88 M97 M103 M117 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | exact unary internal-idle counts and range objective over P*",,,result,39513,,39513
tic-12crafc.prec25,SAT,OPTIMAL,141.411094,22844,50528,0,0,50528,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp2,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","30,32,32,32,32,32,32,28","5,3,1,2,8,3,1,6,8,8,7,6,2,1,3,7,4,8,6,4,8,7,7,8,6,5,3,8,4,7,2,1,6,3,4,5,2,7,7,5,3,2,1,6,4,5,7,8,4,3,2,4,1,5,7,3,6,2,3,4,5,1,2,7,6,4,5,7,2,1,8,3,1,5,2,7,6,5,4,6,7,1,2,3,8,5,2,5,4,6,1,7,5,3,6,2,8,4,1,4,5,6,8,1,3,5,2,4,6,3,7,3,4,2,1,8,6,7,1,2,8,6,4,3,5",1:M3 M7 M14 M32 M43 M53 M62 M70 M73 M82 M91 M99 M104 M115 M119 | 2:M4 M13 M31 M37 M42 M51 M58 M63 M69 M75 M83 M87 M96 M107 M114 M120 | 3:M2 M6 M15 M27 M34 M41 M50 M56 M59 M72 M84 M94 M105 M110 M112 M124 | 4:M17 M20 M29 M35 M45 M49 M52 M60 M66 M79 M89 M98 M100 M108 M113 M123 | 5:M1 M26 M36 M40 M46 M54 M61 M67 M74 M78 M86 M88 M93 M101 M106 M125 | 6:M8 M12 M19 M25 M33 M44 M57 M65 M77 M80 M90 M95 M102 M109 M117 M122 | 7:M11 M16 M22 M23 M30 M38 M39 M47 M55 M64 M68 M76 M81 M92 M111 M118 | 8:M5 M9 M10 M18 M21 M24 M28 M48 M71 M85 M97 M103 M116 M121,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,50528,,50528
tic-12crafc.prec25,SAT,OPTIMAL,1.371266,24062,52561,0,0,52561,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","4,2,3,1,8,1,1,2,7,8,7,7,2,1,6,5,4,8,4,3,7,6,7,8,5,6,2,3,4,7,1,8,3,4,6,5,2,8,7,3,5,1,2,6,4,4,5,8,3,6,3,7,5,1,6,4,2,2,1,5,6,1,2,8,7,6,2,5,1,3,4,8,1,6,3,5,6,5,6,5,8,3,2,4,7,1,4,8,5,7,3,6,4,3,5,1,8,7,2,3,4,7,8,5,2,3,2,7,6,4,5,2,6,4,7,8,3,5,1,2,7,8,3,4,6",1:M4 M6 M7 M14 M31 M42 M54 M59 M62 M69 M73 M86 M96 M119 | 2:M2 M8 M13 M27 M37 M43 M57 M58 M63 M67 M83 M99 M105 M107 M112 M120 | 3:M3 M20 M28 M33 M40 M49 M51 M70 M75 M82 M91 M94 M100 M106 M117 M123 | 4:M1 M17 M19 M29 M34 M45 M46 M56 M71 M84 M87 M93 M101 M110 M114 M124 | 5:M16 M25 M36 M41 M47 M53 M60 M68 M76 M78 M80 M89 M95 M104 M111 M118 | 6:M15 M22 M26 M35 M44 M50 M55 M61 M66 M74 M77 M79 M92 M109 M113 M125 | 7:M9 M11 M12 M21 M23 M30 M39 M52 M65 M85 M90 M98 M102 M108 M115 M121 | 8:M5 M10 M18 M24 M32 M38 M48 M64 M72 M81 M88 M97 M103 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (21) capacity over reduced schedule variables | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | exact unary internal-idle counts and range objective over P*",,,result,52561,,52561
tic-12crafc.prec25,SAT,OPTIMAL,0.881147,14337,33743,0,0,33743,,peak_process_tree_rss_mb,incremental,staircase,direct,yes,imp12+,lexicographic_internal_idle_range_pstar_then_idle_max,lexicographic,0,0,39,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,39,41,42",0,0,0,0,53,21,53,85,6,6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28,32,32,32,32,32,32,30","1,3,4,2,8,2,1,2,4,4,6,7,4,1,3,6,2,8,2,8,5,7,7,8,5,6,1,2,3,7,4,8,4,3,7,5,2,8,7,5,4,2,1,6,3,4,5,8,7,3,3,6,4,1,7,2,5,2,1,5,8,1,3,6,7,6,4,5,1,3,6,8,1,7,3,2,6,5,6,5,8,2,3,4,7,1,2,6,5,7,4,7,5,3,6,2,8,4,1,3,5,6,2,8,1,5,3,8,7,4,6,3,7,5,6,8,4,7,1,2,6,8,3,4,5",1:M1 M7 M14 M27 M43 M54 M59 M62 M69 M73 M86 M99 M105 M119 | 2:M4 M6 M8 M17 M19 M28 M37 M42 M56 M58 M76 M82 M87 M96 M103 M120 | 3:M2 M15 M29 M34 M45 M50 M51 M63 M70 M75 M83 M94 M100 M107 M112 M123 | 4:M3 M9 M10 M13 M31 M33 M41 M46 M53 M67 M84 M91 M98 M110 M117 M124 | 5:M21 M25 M36 M40 M47 M57 M60 M68 M78 M80 M89 M93 M101 M106 M114 M125 | 6:M11 M16 M26 M44 M52 M64 M66 M71 M77 M79 M88 M95 M102 M111 M115 M121 | 7:M12 M22 M23 M30 M35 M39 M49 M55 M65 M74 M85 M90 M92 M109 M113 M118 | 8:M5 M18 M20 M24 M32 M38 M48 M61 M72 M81 M97 M104 M108 M116 M122,,"domain reduction: sessions, fixed meetings, forbidden slots | precedence domain propagation: fixed point over direct edges | full precedence closure: cycle detection and graph statistics only | (20),(22)-(27) exactly once over reduced domains | (19) participant atMost-one per slot | (46),(47) clustered table capacity with full channeling | (28) staircase/support precedence over reduced domains and direct E | usedSlot channeling + exact per-idle-slot break cost | (43) exactly |Mp| reduced usedSlot variables | (44) atMost 2|L| busy participants per slot | (45) exact even number of busy participants | exact unary internal-idle counts and range objective over P*",,,result,33743,,33743
